Temp
19.8
18.34
21.15
20.39
21.65
21.25
23
23.54
18.52
19.62
22.8
24.58
22.64
21.93
23.49
21.89
21.29
19.15
21.01
23.03
19.51
19.99
21.59
22.39
20.69
21.33
22.46
20.68
21.32
20.37
21.56
21.42
18.84
19.55
20.98
21.73
21.59
21.8
21.14
19.78
20.34
19.85
22.48
23.51
19.51
18.99
19.92
21.08
22.86
22.72
21.16
20.08
20.32
18.9
22.17
24.17
20.32
15.74
17.29
20.38
23.14
23.84
22.83
22.03
20.63
18.64
21.69
23.58
19.99
16.25
16.93
18.37
20.81
22.52
23.94
22.57
20.62
19
20.99
22.67
19.72
16.48
18.75
20.9
21.08
21.19
22.18
22.13
21.42
20.84
22.63
23.95
20.45
17.69
19.4
20.76
21.17
21.05
21.13
22.44
23.54
22.27
21.77
22.53
19.48
15.73
17.57
20.1
21.33
23.1
22.64
20.74
21.56
22.63
