Elec
114.51
107.91
102.51
105.74
116.53
122.7
127.93
128.67
123.49
125.86
128.57
126.48
121.31
111.57
102.01
104.93
114.33
119.28
125.78
130.28
132.1
126.09
123.65
120.47
122.17
117.85
108.5
112.17
122.95
126.08
125.94
125.17
125.83
125.53
124.37
124.03
121.08
113.36
104.52
108.77
117.2
120.29
115.34
117.64
122.97
128.42
130.38
127.26
117.53
107.91
98.09
103.87
120.4
121.82
116.75
119.27
120.18
125.83
132.37
132.25
126.49
112.77
102.68
104.62
119.09
125.21
119.75
118.64
117.48
117.02
126.18
128.29
125
120.47
114.98
113.13
121.52
126.78
121.38
120.49
117.06
118.96
120.85
122.51
126.15
123.25
118.04
113.49
116.91
119.72
119.36
120.55
119.94
125.45
123.38
121.02
125.47
124.85
119.31
116.47
122.5
124.2
117.78
118.78
120.94
127.27
129.22
129.61
133.94
133.56
125.82
116.5
123.12
127.71
